id;name;date;description;photo;photo_content_type;type
1;spectacle;2024-07-12;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LANDING
2;blah ah;2024-07-11;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LAUNCH
3;instead;2024-07-11;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LANDING
4;lest;2024-07-11;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LANDING
5;pointless hence;2024-07-12;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LAUNCH
6;kiddingly;2024-07-11;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LANDING
7;darn triumphantly;2024-07-11;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LAUNCH
8;since and carelessly;2024-07-11;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LANDING
9;furthermore scarily ack;2024-07-11;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LAUNCH
10;boohoo mmm;2024-07-11;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;LAUNCH
